Div,kind,PARTS NO,Size,ENG_NAME,CURR_INV,miniAmount,location,JP stocks
BW,PARTS,Y60-4799-000,000,AIR PAD UNIT (A),3,2,神岡,0
BW,PARTS,Y60-4824-000,000,ALL HOLDING YAW INSIDE PAD SET(4PCS),0,1,神岡,5
BW,PARTS,Y60-4932-000,000,AIR PAD UNIT F,0,1,神岡,0
BW,PARTS,Y60-4933-000,000,AIR PAD UNIT G,1,1,神岡,2
BW,PARTS,Y60-5072-000,000,IL UNIFORMITY CHECK UNIT,1,1,神岡,0
BW,PARTS,Y60-5203-000,000,"AIR PAD UNIT,CERAMIC FULL YAW OUT",2,1,神岡,0
BW,PARTS,Y60-5206-000,000,"AIR PAD UNIT,CERAMICTHETA",1,1,神岡,4
BW,PARTS,Y60-5229-000,000,"AIR PAD UNIT,CERAMIC",1,1,神岡,6
BW,PARTS,Y60-5230-000,000,"AIR PAD UNIT,CERAMIC",1,1,神岡,1
BW,PARTS,Y60-5287-000,000,"ALIGNMENT SCOPE Y DRIVE UNIT,R",0,1,神岡,0
BW,PARTS,Y60-5297-000,000,"Z SENSOR UNIT,FL",1,1,神岡,0
BW,PARTS,Y60-5330-000,000,"Z SENSOR UNIT,FL(CF3/CS3)",2,1,神岡,0
BW,PARTS,Y60-5332-000,000,"Z SENSOR UNIT,BL(CF3/CS3)",2,1,神岡,1
BW,PARTS,Y60-5333-000,000,"Z SENSOR UNIT,BR(CF3/CS3)",2,1,神岡,3
BW,PARTS,Y60-5340-000,000,"MIRROR UNIT,ELLIPSE",0,1,神岡,3
BW,PARTS,Y60-5347-000,000,"AIR PAD UNIT, MS-Y(R)",2,1,神岡,0
BW,PARTS,Y60-5348-000,000,"AIR PAD UNIT,MS-Y-YAW",3,2,神岡,1
BW,PARTS,Y60-5349-000,000,"AIR PAD UNIT,PS-X(UPPER)",1,1,神岡,1
BW,PARTS,Y60-5351-000,000,"AIR PAD UNIT,PS-Y(C), CERAMIC",0,1,神岡,0
BW,PARTS,Y60-5352-000,000,"AIR PAD UNIT ,PS-YR",2,2,神岡,0
BW,PARTS,Y60-5380-000,000,"AIR PAD UNIT,YAW ECRATHITE",2,1,神岡,0
BW,PARTS,Y60-5500-000,000,"PCB ASS,Y,MONITOR",1,1,神岡,3
BW,PARTS,Y60-5973-000,000,"GLASS PLATE UNIT,MASK BEND,CS",0,1,神岡,0
BW,PARTS,Y60-5977-000,000,"GLASS PLATE UNIT, MASK BEND, CS850X1400",0,1,神岡,0
BW,PARTS,Y60-7104-000,000,"AIR PAD UNIT (XH) WITH CASE,AL",1,1,神岡,0
BW,PARTS,Y75-0401-000,000,VALVE REGULATOR,5,2,神岡,8
BW,PARTS,Y75-0406-000,000,VALVE REGULATOR,7,2,神岡,3
BW,PARTS,Y75-0582-000,000,"VALVE,REGULATOR",29,10,神岡,42
BW,PARTS,Y75-0688-000,000,"VALVE,REGULATOR",8,5,神岡,0
BW,PARTS,Y75-0694-000,000,PRESSURE INDICATOR,0,1,神岡,0
BW,PARTS,Y75-0791-000,000,"VALVE,AIR RILOTED",2,1,神岡,0
BW,PARTS,Y75-0811-000,000,"VALVE,AIR PILOTED",1,1,神岡,0
BW,PARTS,Y75-1230-000,000,CUSHION UNIT,4,2,神岡,3
BV,PARTS,Y75-2177-000,000,GERMICIDAL LAMP,5,2,神岡,0
BV,PARTS,Y75-2288-000,000,MAGNETIC DRIVE CASCADE PUMP,0,1,神岡,6
BV,PARTS,Y75-2558-000,000,"METAL FILTER,GAS",3,2,神岡,0
BV,PARTS,Y75-2559-000,000,"METAL FILTER,GAS",0,2,神岡,0
BW,PARTS,Y75-4202-000,000,SOCKET,2,2,神岡,2
BV,PARTS,Y75-8778-000,000,TEMPERATURE SENSOR (W-STAGE),1,1,神岡,0
BV,PARTS,Y75-9426-000,000,"ROBOT,FOUP UNIT",1,1,神岡,0
BW,PARTS,Y75-9600-000,000,"FUSE ,3.2A",27,2,神岡,2
BV,PARTS,Y77-0277-000,000,FILTER CARTRIDGE,9,5,神岡,9
BV,PARTS,Y77-0279-000,000,FILTER CARTRIDGE,14,5,神岡,0
BV,PARTS,Y77-1515-000,000,FILTER CARTRIDGE,20,6,神岡,0
BW,PARTS,Y77-2177-000,000,COOLING COIL,3,2,神岡,5
BW,PARTS,Y77-2216-000,000,"FAN,EXHAUST",4,3,神岡,8
BV,PARTS,Y77-2271-000,000,"PUMP,MOTOR,BARRELLED",2,2,神岡,8
BV,PARTS,Y77-3797-000,000,"METER,FLOW PRESSURE",2,2,神岡,10
BW,PARTS,Y77-4327-000,000,TEMPERATURE CONTROLLER,1,2,神岡,0
BW,PARTS,Y77-4328-000,000,TEMPERATURE CONTROLLER,1,1,神岡,0
BV,PARTS,Y77-4413-000,000,"LAMP UNIT, UV, GERMICIDAL",1,1,神岡,2
BW,PARTS,Y77-4502-000,000,INVERTER,2,1,神岡,12
BV,PARTS,Y77-9002-000,000,"RESISTOR ASS'Y, 20W/R7.5",3,3,神岡,0
